url,category,source
https://www.npr.org/rss/rss.php?id=1004,News,NPR
https://www.npr.org/rss/rss.php?id=1014,News,NPR
https://www.npr.org/rss/rss.php?id=1006,Business,NPR
https://www.npr.org/rss/rss.php?id=1019,Technology,NPR
https://www.npr.org/rss/rss.php?id=1007,Science,NPR
https://www.npr.org/rss/rss.php?id=1128,Health,NPR
http://feeds.feedburner.com/breitbart,News,Breitbart
http://www.theamericanconservative.com/feed/,News,The American Conservative
https://www.washingtontimes.com/rss/headlines/sports/,Sports,Washington Times
https://www.washingtontimes.com/rss/headlines/culture/technology/,Technology,Washington Times
https://www.washingtontimes.com/atom/headlines/culture/health/,Health,Washington Times
https://www.washingtontimes.com/rss/headlines/culture/entertainment/,Entertainment,Washington Times
https://www.washingtontimes.com/rss/headlines/news/business-economy/,Business,Washington Times
https://www.washingtontimes.com/rss/headlines/news/national/,News,Washington Times
https://www.washingtontimes.com/rss/headlines/news/world/,News,Washington Times
http://thehill.com/rss/syndicator/19109,News,The Hill
http://thehill.com/taxonomy/term/20/feed,Business,The Hill
https://www.politico.com/rss/politics08.xml,News,Politico
https://www.politico.com/rss/economy.xml,Business,Politico
http://feeds.newscientist.com/science-news,Science,New Scientist
http://feeds.newscientist.com/health,Health,New Scientist
http://feeds.newscientist.com/tech,Technology,New Scientist
http://feeds2.feedburner.com/thenextweb,News,The Next Web
http://feeds.feedburner.com/time/newsfeed,News,Time
http://feeds.feedburner.com/timeblogs/swampland,News,Time
http://feeds2.feedburner.com/time/world,News,Time
http://feeds2.feedburner.com/time/business,News,Time
http://feeds.feedburner.com/timeblogs/nerd_world,Technology,Time
http://feeds.feedburner.com/time/healthland,Health,Time
http://feeds2.feedburner.com/time/scienceandhealth,Science,Time
http://feeds2.feedburner.com/time/entertainment,Entertainment,Time
https://www.theverge.com/rss/index.xml,Technology,The Verge
https://www.vice.com/en_us/rss,News,Vice
https://rss.medicalnewstoday.com/featurednews.xml,Health,Medical News Today
http://www.espn.com/espn/rss/nfl/news,Sports,ESPN
http://www.espn.com/espn/rss/nba/news,Sports,ESPN
http://www.espn.com/espn/rss/mlb/news,Sports,ESPN
http://www.espn.com/espn/rss/nhl/news,Sports,ESPN
http://www.espn.com/espn/rss/rpm/news,Sports,ESPN
http://www.espnfc.com/rss,Sports,ESPN
http://www.espn.com/espn/rss/ncb/news,Sports,ESPN
http://www.espn.com/espn/rss/ncf/news,Sports,ESPN
http://www.espn.com/espn/rss/news,Sports,ESPN
https://api.foxsports.com/v1/rss,Sports,Fox Sports
https://api.foxsports.com/v1/rss?tag=nfl,Sports,Fox Sports
https://api.foxsports.com/v1/rss?tag=nhl,Sports,Fox Sports
https://api.foxsports.com/v1/rss?tag=nba,Sports,Fox Sports
https://api.foxsports.com/v1/rss?tag=mlb,Sports,Fox Sports
https://api.foxsports.com/v1/rss?tag=nascar,Sports,Fox Sports
https://api.foxsports.com/v1/rss?tag=cfb,Sports,Fox Sports
https://api.foxsports.com/v1/rss?tag=cbk,Sports,Fox Sports
https://www.nextbigfuture.com/feed,Technology,Next Big Future
https://www.engadget.com/rss.xml,Technology,Engadget
http://feeds.feedburner.com/TechCrunch,Technology,Tech Crunch
https://www.techradar.com/rss,Technology,Tech Radar
https://www.wired.com/feed/rss,Technology,Wired
https://www.wired.com/feed/category/business/latest/rss,Business,Wired
https://www.wired.com/feed/category/culture/latest/rss,Entertainment,Wired
https://www.wired.com/feed/category/science/latest/rss,Science,Wired
http://feeds.arstechnica.com/arstechnica/index,Technology,Ars Technica
https://www.buzzfeed.com/usnews.xml,News,Buzzfeed
https://www.buzzfeed.com/tvandmovies.xml,Entertainment,Buzzfeed
